媳婦載婆婆就醫返家疑恍神猛撞橋墩車毀2  媳婦要被噹爆了
幹剛剛有白癡得來速繞三圈才點餐  ?為什麼你知道他繞三圈
2022平均員工薪資日月光550萬元奪冠  日月光投控不是日月光半導體
中共2個多月刪帖逾140萬約談二千自媒體人  中共遮起來根本民進党啊嘻嘻
性騷擾案林飛帆認疏失民進黨須進一步  非常泰
蔡沐霖要告了  你柿子都知道要挑軟的吃了
房地合一20滿2年專家嘆當初支持的人  盆滿缽滿還是盆滿肛滿
香港斬人也太恐怖了吧  保全溜走也太臭俗了吧==
流行樂最會唱歌的是惠妮休士頓  惠妮休士頓的地位沒這麼高
躺平60天報酬60萬法國實驗太空人微重力  一天一萬爽賺
岸田政府預算  把男人撞死去異次元其實就會成功了
女森真的不怕秋後算帳嘛  病就算秋後算帳又怎樣真的被自殺
新加坡車子這麼貴就沒人抗議  搭大眾運輸就是必須當行人一堆人是沒搭
前民眾黨工爆曾遭性騷柯文哲第一時間  第一時間就gameover幫QQ
德州早餐吃什麼  早餐去BBQ店吃taco啊
AirPods耳機會無限繁殖嗎  不要撿不到便宜上來崩潰好嗎?
男生被性騷擾  我被小隻馬男同學摸大腿很噁
獨家薛朝輝老婆400字聲明相信老公清白  老婆真的很可憐！！王必勝的老婆至今
有人是性騷擾臉嗎  一定是柯粉
豬對有也太難吃了吧  才362而已喔那也別太期待吧
有沒有美麗新香港的八卦  愛存在這美麗新香港
王丹回應性騷爭議  還是綠營的多米諾效應，看接下來還有
台女怎那麼愛在前車右轉時搶轉  你要右轉你不用先減速看看有沒有車嗎？
有什麼好理由可以推性騷擾除罪  笑死，推一個
萬七是不是難以攻克的鐵板00  可惜叫章萬安不叫萬七
柯文哲不贊成性騷案成政治攻擊武器  我想四年前大家就知道三明治不是好東西了
南科跳電減壓廠家受害九崴電力籲支持乾  DPP都在擔保不缺電，你要和黨唱反調？
台男敢出來咪兔嗎  20F敢出來#FreeDick
全家發票中雲端該怎麼領獎  開放領獎的時候去全家機台那邊印實體發票
遊日注意自由行必備西瓜卡自8日起  早就有了,有誰還沒有西瓜卡的
民進黨性騷第4案工讀生被約泡湯小酌  這麼快就累積四案了是積了多少案啊
田勝傑現在在幹嘛  現在可能也在強迫別人口吧沒被爆出來而已
快儲水高雄9400戶531起停水23  好啦南部不缺水啦，賣場都有賣水，說缺水
老闆說不會這樣就算了是什麼意思  恐嚇當事者阿，我不會就這樣算了
附議安樂死合法化提案  大家都知道但是擋到利益這件事就是無解
一頁書會怎麼解決性騷疑雲  下一篇炎亞綸會怎麼解決
性騷擾可能發生在男友對女友嗎  男友：路過摸一下女友屁股。
曾獲蔡英文肯定厭世工程師性騷少女  意識，本質上根本沒在討論性騷
金城武是最頂的性騷擾絕緣體嗎  邀我去吃飯的記得是陳可辛，不是女星
負責督導未處理林飛帆被轟退選  歲月靜好，躺著選就好
柯文哲不贊成性騷案成政治攻擊武器  婦女部巴不得柯文哲多講點酸話哩
曹興誠跟中共談和平就是叛徒  跟中共談和平就是叛徒？是中共不會跟你
民進黨最新聲明對性騷零容忍三大改革  不要懷疑DPP改革的決心全黨挺一人
暗黑4怎麼貴成這樣  手遊一單好便宜暗黑4好貴
婆婆媽媽主動介紹怎麼辦0_0  是什麼介紹？想聽
獨家薛朝輝老婆400字聲明相信老公清白  主席：到底！還讓不讓人選舉啊？
幹你娘企鵝妹走到納骨塔被阿北纏住  那阿北有腳嗎？
獨家薛朝輝老婆400字聲明相信老公清白  可是瑞凡，戰清白已被實測是失敗方程式
暴坊將軍會怎麼解決性騷擾風波  放音樂？
美國朋友灣灣是蓋牌社會嗎  你們是不是重新定義蓋牌..
旭集要怎樣才訂的到  現在要付訂金好訂很多
大性騷時代醜阿肥如何安身立命  先從減肥開始如何？
急饗食天堂吃什麼才內行  很常來吃其他都吃膩了才吃炒飯"
房蟲有房領3萬我沒房一個月不到3萬  年輕人買不起房是因為沒規劃
癌細胞擦擦就沒了史丹佛大學大突破  爽了爽了…賺翻了
民進黨性騷案擴大台北市勞動局要求5天0  50萬是讓民進黨看笑話？
美國日本菲律賓首次聯合軍演應對中共威脅  中共威脅不會再人家蓋軍事基地美國威脅會
為什麼韓式炸雞沒有九層塔蒜頭口味  吃起來跟鹹酥雞有9丞相
喜馬拉雅山很難爬嗎  成為oneboy路標很棒守護神山
獨家薛朝輝老婆400字聲明相信老公清白  又一個相信老公清白你以為你相信就沒
新手主管誤闖禁區把懶趴給點著了  你這主管能有此番作為，必是綠共菁英幹部
柯文哲不贊成性騷案成政治攻擊武器  政治攻擊武器，我難得推柯ㄧ次
怎麼做才能以大局為重  奶頭主動給黨大老咬就是大局為重
大家有沒有推薦的手遊  龜覽趴的野望統一永和的戰略遊戲
FB留言又爆蔡沐霖的性騷案  XDD
蔡沐霖要告了  党：準你告了嗎？
相澤南宣佈引退  日本引退，台灣出道
千萬失業青年成隱患專家中共坐火山口  千萬部隊
古有籃球火今有懶趴火橫批新手上路  橫批：星火燎原
要用什麼新聞才能蓋過性騷文  當事人都不想低調要反咬,難蓋呀
有什麼好理由可以推性騷擾除罪  http://i.imgur.com/pWOxlsk.jpg
蔡沐霖要告了  反串要註明,孩子
有什麼好理由可以推性騷擾除罪  理由：你有奶，我也有奶，男人有自己的
是哪個群組整天都在找企鵝妹  他是在說路人在找吧哪有提到群組==
想怎麼補充台灣價值該怎麼做  那就是菜頭湯了吧..
誰被爆是性騷擾犯你會最驚訝  我是說假設基努李維被爆不是他真的有
31處男交不到女朋友如何增加機率的八卦  31歲還是處男.去gay吧，可以破處
我吃了那男孩一整年的早餐算不算性騷擾  為什麼不分我吃
綠色的樹洞要怎麼翻譯  你這是要翻成英文德文還是中文？
臺灣的性騷防治現在在第幾層  權貴壓迫算第幾層?
曾獲蔡英文肯定厭世工程師性騷少女  曾獲蔡英文肯定!
60幾歲還中分頭的老男人是什麼心態  以前訓導主任說中分頭看起來像x頭
女主管等不及了叫我快點進去  推～原PO是什麼小說家還是編劇嗎？XD
呆丸年輕人  因為人口太多年輕人沒有生存空間本來就該屎
南科跳電減壓廠家受害九崴電力籲支持乾  南科斷電的話不知道隔天股價會怎麼反應
為什麼台北車站門口這麼多流浪漢  我TM長的像流浪漢ㄇ
貓貓吃蒲公英嗎  穿衣服ㄉ貓貓可愛
柯文哲不贊成性騷案成政治攻擊武器  政治攻擊武器，柯這一點看的很清楚
AMD輸NV這麼多為何蘇媽沒被開除  我還以為AMD是美國的公司呢
企鵝妹會摸黑去到國聖燈塔嗎  會
性騷案也太多了吧  選舉到了四年後還會有一次咪兔潮
72妹夕陽是不是拍得不錯  問偉哲還在吃滷肉飯是不是
少年戴抗噪耳機沿鐵軌行走聽不見火1  達爾文了以前日本漫畫就畫過少女戴耳機
如果有性騷擾辦公室主任應該誰來當  都真槍實彈的誰在跟你性騷擾
基隆法拍透天厝史上最低宜蘭分署拍賣  基隆正義屋
蔡沐霖要告了  現在是樹倒眾人推了嗎?
柯文哲不贊成性騷案成政治攻擊武器  有可能，或是兩派人馬，不爽，內鬥
性侵性騷擾有沒有好聽一點的說法  超說/超摸/超親/超插
網紅企鵝妹好奇水為何是黃的南市環保  民主的水怎麼了嗎？印度聖河也是黃的
民進黨最新聲明對性騷零容忍三大改革  開除後大風吹
最近是不是認知作戰很猖獗啊  沒錯，黨是不會做錯事的
王丹回應性騷爭議  識上會覺得是真有其事，王丹的回應相
被台男強姦VS被解放軍強姦  被黨員強姦還是被KMT強姦
柯文哲不贊成性騷案成政治攻擊武器  想看電影幹嘛不去電影院？？
以逃稅之名越南拘捕氣候活動人士  以違建之名審訊立委參選人
快訊剛跟父母吵完架高雄27歲男墜樓  八成父母情勒，每次跟父母吵架都覺得到底是
人選之人現在還算是糞作嗎  還是糞作啊，只是覺青沒想到會打到自己人
為了台灣不要在洗性騷擾的文了  民進黨倒了台灣也會倒不要往死裡打
衝上路邊拖車女駕駛飛37公尺再墜地驚悚24秒曝光  37公尺飛24秒，感覺好像在考物理
台灣人不喜歡吃薄皮嫩雞嗎  他是說不賣薄脆雞不是不賣薄皮嫩雞吧
不爆雷蔡英文推薦台劇人選之人叮嚀  綠選之人
這些是境外勢力的假消息吧  創世神大數據AI分析中這些都是境外的
蔡沐霖要告了  蔡如果要死不認錯的話DPP大概就重溫小智
橋墩到底怎麼插進河裡的  種下橋墩的種子就會長出橋墩了
范冰冰紅毯女王贏熱迪遮芭好幾條街  范冰冰forever女神
民進黨性騷爆出第三案何孟樺曾要黨  欸這樣要加幾個辦公室才夠
藍高層早料到會有換侯陰謀論內部民調  侯郭相爭的時候，國民黨有做內部民調嗎？
中共打來了怎麼辦黑熊學院推民防線上  曹完全看透中共本質了
歸然八火是很厲害的招式嗎  很厲害啊,鬼覽趴火,可以正當對別人性騷擾
一堆太陽能光電板真的有綠能環保  不是綠能（環保）是綠能（DPP)
每次出事都假裝抱歉實則開告  民進黨都這樣啊
蔡沐霖要告了  好奇...為什麼他要告人呢？
對性騷零容忍那性騷1呢太不公平  性騷，林，容忍了
以前搞社運的也一樣迪哥嗎  以前要娶高官的女兒，社運當小三
公司信箱用gmail應該去嗎  以前gmail是公司專用信箱不是gmail.com
現在是過街老鼠嗎  是不是民進黨的時候你才喊過街老鼠
如果保台跟性平只能選一個要選哪個  黨應該會選個能撈的
蔡沐霖要告了  支持提告，公民權益
成立防性侵辦公室需要多少預算  樓下你多少錢願意跟我結婚
為什麼買不到真槍別人買得到不公平  只有你買不到
追女生跟性騷擾的界線在哪  是在表達三小看不懂
台南魚塭一邊粉紅一邊黃色奇景  正常的黃水你怎麼不當場喝一口
港仔一男持刀追殺兩人你敢救嗎  你敢不敢=.=
我正式宣布2023年為性騷元年  也是
可以每天下午開騷情記者會更新人數嗎  這更新太慢了吧，是1400更新的嗎==
附議安樂死合法化提案  怎麼個被法？綁起來抓去安樂死這樣
現在只剩性騷了嗎  窮的只剩下選票了
蔡沐霖要告了  郭台銘都能年少輕狂了新手主管也還好
民進黨性騷第二樁侯友宜競辦任用加害  檢討柯文哲不會讓民進黨變好ok？
台南是不是很有在地人文氣息  線都還沒復是有一點久吧連停止線都
看到有人在路邊中三槍會怎麼做  當沒看到遠離他
性騷騷用那種顏色最般配呢  推文的顏色
被舔耳朵算是性騷擾嗎  二樓都舔三樓ㄉ龜頭溝
要指考怎麼辦  指考是在考手指招式和抖動頻率嗎？好
林襄對曾國城提1要求全場傻眼徐乃  林襄什麼要去上打麻將的節目
484要全面遠端工作才不會被性騷  真要性騷你，封包也可以
民進黨性騷擾吃案連環爆柯文哲為何拖9個月我們第一瞬間  上面這個本人有澄清
欸欸真的沒有男性受害者嗎  "已知有8人受害"
蔡沐霖要告了  法律系的DPP多到可以排隊車輪戰了吧
民進黨推革新3方案賴清德面對性平事  檢舉實名制啊，你今天才認識民進黨？
性騷擾比較嚴重還是換臉比較嚴重  沒人會性騷擾EE,所以換臉嚴重
如果性騷擾合法化有什麼問題嗎  什麼合法化，頂多把性騷擾相關法案廢除
高雄什麼工作有月薪4萬  房租含水電要一萬？高雄房租有那麼
中市議會考察奢華行程曝光民團與時力同  之前看過都發建設水利的考察行程公
一群充滿缺陷的人聚在一起要怎麼稱呼  DC那個自殺什麼的隊
23歲啃老女殺人拖行李箱裝屍腳步雀躍  那個行李箱看起來不大這樣能裝一個人？
人選之人原型是蔡沐霖包庇性騷事件  #這不是一個蔡沐霖#是整團蔡沐霖党
婦女部現在在想什麼  在想用什麼梗出征kp黨
薪酬排行日月光5508萬奪冠  日月光投控是日月光半導體和矽品的控股公
台灣怎麼了各種性騷吃案大局為重  你現在才問怎麼了感覺..會不會晚了一點XD
小美人魚在影片講解的暱稱  小鯰
人生有許多難關要過自古是情關  幾點蛤？
台南是不是很有在地人文氣息  第三張是剛鋪好還沒劃線吧我昨天剛
屎快噴出來了會去殘障廁所嗎  女廁都去屎在滾的感覺只要是廁所都去
現在大學生知道酷龍嗎  r3r150那麼便宜，腦袋正常都不會買酷龍吧
震撼晨間用味全牛奶  震撼什麼，用太好?
台大社科院長自爆查林智堅案遭威脅  鬼島沒有國安這種東西啦，只有某些特
這些女人夠了吧事有輕重緩急不懂嗎  有空缺了趁現在快卡位
有沒有遊戲發售D病毒的八卦  為什麼不叫3A病毒
請板上的男生進來一下  因為懶叫是個很神奇的器官
有沒有當代最頂的跳車傳說UωU  頂呱呱
聽說指責女生穿太少才會被性侵是錯的  是很容易被覬覦，但是該被指責的是性侵犯
資訊戰大師puma會怎麼分析這次性騷擾  說是專門研究中共資訊戰，不研究國內的
零容忍的零是什麼意思  者認為是零那就是零
民進黨性騷第三案何孟樺哽咽發聲當  第幾案第幾案我看得頭好暈，誰記得
農民工小代午餐喜歡量大管飽的攤販嗎  工地的吃多點吧，然後還有觀眾喜歡吧
大量多餘的免洗筷有什麼妙用嘛  有乾淨可以拿去送有些小吃店會收
女生胸部叫酥胸男生雞雞要叫啥  懶叫很漂亮
看到年輕人在路邊大量失血會想救嗎  救啊別想逃離地獄模式
有懶人包現在受害者幾個了嗎  qaed:有弱智信嗎?
制度不合理民進黨性騷擾連環爆走申訴  不意外dpp連吹哨者保護法都在卡
民進黨推革新3方案賴清德面對性平事  反觀柯文哲女人只是一個洞
